iter	Passed	Remaining
0	148	148763
1	155	77398
2	158	52527
3	160	40003
4	164	32742
5	167	27811
6	170	24153
7	172	21396
8	176	19379
9	178	17700
10	181	16314
11	184	15170
12	186	14184
13	190	13413
14	194	12768
15	196	12114
16	199	11531
17	203	11103
18	206	10663
19	209	10251
20	212	9898
21	216	9611
22	219	9343
23	222	9038
24	225	8782
25	229	8582
26	232	8377
27	235	8176
28	238	7973
29	241	7805
30	244	7640
31	247	7479
32	249	7312
33	251	7153
34	255	7038
35	258	6921
36	260	6788
37	263	6672
38	265	6549
39	269	6457
40	272	6365
41	276	6296
42	279	6231
43	283	6170
44	286	6076
45	288	5989
46	291	5900
47	293	5825
48	296	5756
49	299	5689
50	302	5622
51	306	5583
52	310	5540
53	313	5485
54	315	5428
55	318	5369
56	322	5338
57	326	5307
58	329	5261
59	332	5207
60	335	5165
61	339	5132
62	341	5084
63	344	5036
64	347	4992
65	352	4986
66	355	4952
67	358	4909
68	361	4875
69	368	4891
70	370	4849
71	373	4809
72	375	4772
73	379	4749
74	382	4719
75	386	4697
76	390	4677
77	398	4712
78	401	4680
79	404	4654
80	407	4621
81	412	4613
82	413	4570
83	416	4539
84	418	4506
85	423	4496
86	425	4470
87	428	4442
88	431	4419
89	434	4393
90	438	4377
91	441	4358
92	445	4348
93	453	4370
94	456	4346
95	459	4324
96	464	4322
97	468	4315
98	472	4295
99	478	4307
100	481	4289
101	484	4267
102	487	4242
103	489	4218
104	495	4226
105	499	4215
106	503	4202
107	508	4199
108	513	4195
109	516	4179
110	520	4166
111	525	4170
112	529	4158
113	535	4162
114	540	4156
115	545	4158
116	557	4207
117	565	4224
118	568	4211
119	572	4196
120	576	4185
121	580	4179
122	588	4194
123	599	4236
124	639	4475
125	664	4610
126	668	4597
127	676	4611
128	682	4609
129	693	4642
130	697	4625
131	714	4697
132	718	4682
133	721	4665
134	730	4679
135	738	4689
136	746	4703
137	764	4773
138	782	4848
139	789	4850
140	795	4844
141	799	4828
142	804	4819
143	813	4835
144	819	4834
145	823	4816
146	828	4805
147	836	4813
148	871	4977
149	876	4968
150	885	4981
151	895	4995
152	901	4989
153	916	5037
154	925	5046
155	933	5051
156	937	5034
157	942	5024
158	946	5006
159	950	4990
160	952	4962
161	955	4945
162	958	4922
163	961	4900
164	963	4877
165	966	4853
166	969	4835
167	972	4815
168	974	4791
169	977	4773
170	985	4779
171	991	4773
172	995	4758
173	1000	4750
174	1004	4735
175	1007	4718
176	1014	4716
177	1018	4701
178	1020	4682
179	1023	4661
180	1025	4641
181	1028	4621
182	1032	4607
183	1036	4594
184	1038	4576
185	1042	4563
186	1045	4545
187	1048	4526
188	1050	4508
189	1055	4500
190	1058	4484
191	1062	4469
192	1065	4453
193	1068	4439
194	1070	4420
195	1073	4404
196	1076	4389
197	1081	4382
198	1085	4371
199	1091	4365
200	1094	4350
201	1100	4347
202	1102	4329
203	1104	4310
204	1108	4300
205	1113	4291
206	1115	4273
207	1117	4256
208	1120	4242
209	1126	4238
210	1132	4233
211	1134	4218
212	1138	4205
213	1141	4194
214	1144	4179
215	1147	4163
216	1149	4148
217	1152	4133
218	1157	4126
