iter	Passed	Remaining
0	2	278
1	8	393
2	10	350
3	13	323
4	16	305
5	20	315
6	23	307
7	25	295
8	27	282
9	31	279
10	35	286
11	38	282
12	40	273
13	43	268
14	46	263
15	49	261
16	52	255
17	54	250
18	57	246
19	60	243
20	64	241
21	66	236
22	69	231
23	71	227
24	74	223
25	78	222
26	81	219
27	83	215
28	86	211
29	89	209
30	92	206
31	95	202
32	98	199
33	100	195
34	104	193
35	107	190
36	109	187
37	112	183
38	115	180
39	120	180
40	123	177
41	124	172
42	127	169
43	132	168
44	135	165
45	139	164
46	142	160
47	149	161
48	152	158
49	154	154
50	159	153
51	164	151
52	166	148
53	169	144
54	171	140
55	174	137
56	177	134
57	181	131
58	184	127
59	187	125
60	190	122
61	193	118
62	196	115
63	202	114
64	206	111
65	208	107
66	211	104
67	215	101
68	219	98
69	221	95
70	224	91
71	227	88
72	231	85
73	234	82
74	237	79
75	240	75
76	244	73
77	247	69
78	250	66
79	252	63
80	255	59
81	258	56
82	261	53
83	264	50
84	266	47
85	271	44
86	274	41
87	277	37
88	280	34
89	283	31
90	289	28
91	291	25
92	294	22
93	299	19
94	302	15
95	305	12
96	307	9
97	310	6
98	313	3
99	317	0
